collection,model,query,NDCG_10
cw12,3b,201,0.5164277709167765
cw12,3b,202,0.43067655807339306
cw12,3b,203,0.8069327454336254
cw12,3b,204,0.1752403466068002
cw12,3b,205,0.0641592331231752
cw12,3b,206,0.3271943260158885
cw12,3b,207,0.6211858881114705
cw12,3b,208,0.21563452871840938
cw12,3b,209,0.15476782134788405
cw12,3b,210,0.15104763914786637
cw12,3b,211,0.2404571857977608
cw12,3b,212,
cw12,3b,213,0.94497705842548
cw12,3b,214,0.4506394677339332
cw12,3b,215,0.4094601094827229
cw12,3b,216,0.6715069073482607
cw12,3b,217,0.7284339834495065
cw12,3b,218,0.2295349429730957
cw12,3b,219,0.6083269454824888
cw12,3b,220,0.21801791105170173
cw12,3b,221,0.7709448453749048
cw12,3b,222,0.5493177820765913
cw12,3b,223,0.5962537011470028
cw12,3b,224,0.6083169141195838
cw12,3b,225,
cw12,3b,226,0.3309156612681637
cw12,3b,227,0.7225999305013535
cw12,3b,228,0.3274824546896944
cw12,3b,229,0.8899541168509599
cw12,3b,230,0.6807351507646947
cw12,3b,231,0.4004071056175924
cw12,3b,232,0.933745776545611
cw12,3b,233,0.47324710191139957
cw12,3b,234,0.8196104814592203
cw12,3b,235,
cw12,3b,236,0.7059732635631392
cw12,3b,237,0.1835434016066458
cw12,3b,238,0.33719110293438403
cw12,3b,239,0.3334017601748157
cw12,3b,240,0.955830517697074
cw12,3b,241,0.3769010704295507
cw12,3b,242,0.33331990459447924
cw12,3b,243,0.6076803291088901
cw12,3b,244,0.057959913024345
cw12,3b,245,0.0583143963840315
cw12,3b,246,0.6852232542769388
cw12,3b,247,
cw12,3b,248,0.41159835617691237
cw12,3b,249,0.9574284411791895
cw12,3b,250,0.8207221465183299
cw12,3b,251,0.49841150075880586
cw12,3b,252,0.8548383206432355
cw12,3b,253,0.5952132284042514
cw12,3b,254,0.21503688088216072
cw12,3b,255,
cw12,3b,256,0.37612090654328967
cw12,3b,257,0.4636000812813867
cw12,3b,258,0.3045707084615295
cw12,3b,259,0.5411365385002074
cw12,3b,260,
cw12,3b,261,0.23644201540575574
cw12,3b,262,0.38752956019895024
cw12,3b,263,0.44861034284011464
cw12,3b,264,0.3735794864074113
cw12,3b,265,
cw12,3b,266,0.701619614748667
cw12,3b,267,0.9537125187088151
cw12,3b,268,0.7016168289913156
cw12,3b,269,0.33107273594540887
cw12,3b,270,0.026969912313101977
cw12,3b,271,0.0866178136927642
cw12,3b,272,0.34099623879800933
cw12,3b,273,
cw12,3b,274,0.10944405419074449
cw12,3b,275,0.23365080824310533
cw12,3b,276,0.6959552463995516
cw12,3b,277,0.0767023408078252
cw12,3b,278,
cw12,3b,279,0.2101095053599365
cw12,3b,280,0.5284406037433628
cw12,3b,281,0.3205228949141826
cw12,3b,282,0.46812887910817486
cw12,3b,283,0.33333333333333337
cw12,3b,284,0.6284608357087161
cw12,3b,285,0.5946591033210707
cw12,3b,286,0.4064448614575098
cw12,3b,287,0.831013749451631
cw12,3b,288,0.38240518637313137
cw12,3b,289,
cw12,3b,290,0.4288398090337664
cw12,3b,291,0.38793724283509184
cw12,3b,292,0.8319922042466183
cw12,3b,293,0.5633756502439605
cw12,3b,294,0.5387895210356477
cw12,3b,295,0.6309616311224078
cw12,3b,296,0.7563508031103757
cw12,3b,297,0.8174520903216196
cw12,3b,298,0.7017172625324332
cw12,3b,299,0.6237394272594111
cw12,3b,300,0.564233403193379
cw12,3b,all,0.43995595930107906
dl-passages,3b,19335,0.15212252527854622
dl-passages,3b,23849,0.5188927385164672
dl-passages,3b,42255,0.6594213097490836
dl-passages,3b,47210,0.38735668532295425
dl-passages,3b,47923,0.05311680542327493
dl-passages,3b,67316,0.47095969688623934
dl-passages,3b,87181,0.3448869546149265
dl-passages,3b,87452,0.4281475317009384
dl-passages,3b,104861,0.3787833386759354
dl-passages,3b,118440,0.1566995519014511
dl-passages,3b,121171,0.703460849857209
dl-passages,3b,130510,0.9072418560100932
dl-passages,3b,131843,0.9363792118010482
dl-passages,3b,135802,0.8173280094383447
dl-passages,3b,141630,0.0564029643144486
dl-passages,3b,146187,0.4118406521518464
dl-passages,3b,148538,
dl-passages,3b,156493,0.7025909879413565
dl-passages,3b,156498,0.3715559628122953
dl-passages,3b,168216,0.5865387893477051
dl-passages,3b,169208,0.07018187536941956
dl-passages,3b,174463,0.520181201871892
dl-passages,3b,182539,0.49322286226012885
dl-passages,3b,183378,1.0
dl-passages,3b,207786,0.3475106656496936
dl-passages,3b,258062,
dl-passages,3b,264014,0.47302542998501407
dl-passages,3b,324585,0.7655934900767001
dl-passages,3b,330975,0.4036309130401586
dl-passages,3b,332593,0.1511463278789536
dl-passages,3b,336901,0.5307212739772436
dl-passages,3b,359349,0.5432335286777144
dl-passages,3b,390360,
dl-passages,3b,405163,0.11004588314904008
dl-passages,3b,405717,0.03533126475235993
dl-passages,3b,443396,0.18451145196513263
dl-passages,3b,451602,0.2533913026790146
dl-passages,3b,489204,0.029843011203480777
dl-passages,3b,490595,0.559902299342742
dl-passages,3b,527433,0.19836971392578634
dl-passages,3b,555530,0.04257155882081049
dl-passages,3b,573724,0.3158552072300878
dl-passages,3b,583468,0.6879654839597936
dl-passages,3b,640502,0.028381039213873666
dl-passages,3b,673670,0.3018128853782222
dl-passages,3b,701453,0.5416991921041627
dl-passages,3b,730539,0.723510843868312
dl-passages,3b,768208,0.8450249057343838
dl-passages,3b,833860,0.5904548778969074
dl-passages,3b,855410,1.0
dl-passages,3b,877809,0.49153921139749224
dl-passages,3b,911232,0.5792215301157551
dl-passages,3b,914916,0.0991231612048452
dl-passages,3b,915593,0.48582535080437655
dl-passages,3b,938400,0.8803485966094551
dl-passages,3b,940547,0.19255847523119807
dl-passages,3b,962179,0.7392727509487194
dl-passages,3b,997622,0.7746772367821344
dl-passages,3b,1030303,0.933142375293079
dl-passages,3b,1037496,0.6719958531284241
dl-passages,3b,1037798,0.3487818455313061
dl-passages,3b,1043135,0.7881301010137542
dl-passages,3b,1051399,0.633846718205799
dl-passages,3b,1063750,0.3699768251542353
dl-passages,3b,1064670,0.2952748472574684
dl-passages,3b,1071750,0.6133228336004332
dl-passages,3b,1103812,0.5298635559862047
dl-passages,3b,1105792,0.6667078654731741
dl-passages,3b,1106007,
dl-passages,3b,1106979,0.6334662789070927
dl-passages,3b,1108651,0.6643987838114195
dl-passages,3b,1109707,0.3704887184886248
dl-passages,3b,1110199,0.05379908282997335
dl-passages,3b,1110678,0.5336795848280227
dl-passages,3b,1112341,0.7113616185763936
dl-passages,3b,1113256,0.9545678367538876
dl-passages,3b,1113437,0.3261523278287932
dl-passages,3b,1114646,0.6812542977893694
dl-passages,3b,1114819,0.6686625555833077
dl-passages,3b,1115210,0.037665676876396506
dl-passages,3b,1115776,0.7522428171008184
dl-passages,3b,1116380,0.1247642122243228
dl-passages,3b,1117099,0.8572048559638626
dl-passages,3b,1121353,0.7631513313773379
dl-passages,3b,1121402,0.7141730709923044
dl-passages,3b,1121709,0.14982420171299154
dl-passages,3b,1122767,0.3097545645880429
dl-passages,3b,1124210,0.704572545572357
dl-passages,3b,1127540,0.8669442527858391
dl-passages,3b,1129237,0.5399941158717112
dl-passages,3b,1131069,0.7328286204777912
dl-passages,3b,1132532,0.7296740257666532
dl-passages,3b,1133167,0.6057819654772648
dl-passages,3b,1133579,0.3364310037447995
dl-passages,3b,1136043,0.554939437132233
dl-passages,3b,1136047,
dl-passages,3b,1136962,0.5262044312701806
dl-passages,3b,all,0.4720457346373694
cw09,3b,1,0.3058779736165045
cw09,3b,2,0.733321160872833
cw09,3b,3,0.47748602856476785
cw09,3b,4,
cw09,3b,5,0.48132038554175005
cw09,3b,6,
cw09,3b,7,0.3938326010691344
cw09,3b,8,0.5270672065167424
cw09,3b,9,0.7803864358037506
cw09,3b,10,0.5329892798869801
cw09,3b,11,0.5924218533073131
cw09,3b,12,0.07336392209936005
cw09,3b,13,
cw09,3b,14,0.5495017421707431
cw09,3b,15,0.7960651281555349
cw09,3b,16,0.40995091484653445
