collection,model,query,aggregator,NDCG_10
cw12,3b,201,Bradley-Terry,0.5164277709167765
cw12,3b,202,Bradley-Terry,
cw12,3b,203,Bradley-Terry,0.843421036648206
cw12,3b,204,Bradley-Terry,0.28195545508354275
cw12,3b,205,Bradley-Terry,0.2565741961581056
cw12,3b,206,Bradley-Terry,0.21820129278848743
cw12,3b,207,Bradley-Terry,0.22963844540418651
cw12,3b,208,Bradley-Terry,0.4470779618206569
cw12,3b,209,Bradley-Terry,
cw12,3b,210,Bradley-Terry,0.07158230801426127
cw12,3b,211,Bradley-Terry,0.37107285257527733
cw12,3b,212,Bradley-Terry,
cw12,3b,213,Bradley-Terry,0.7799082337019198
cw12,3b,214,Bradley-Terry,0.3561868251429363
cw12,3b,215,Bradley-Terry,0.49420867725437906
cw12,3b,216,Bradley-Terry,0.617642070254914
cw12,3b,217,Bradley-Terry,0.6767822883418159
cw12,3b,218,Bradley-Terry,0.443847116224215
cw12,3b,219,Bradley-Terry,0.718889795595544
cw12,3b,220,Bradley-Terry,0.2804822222314683
cw12,3b,221,Bradley-Terry,0.776233519603995
cw12,3b,222,Bradley-Terry,0.5129464295230277
cw12,3b,223,Bradley-Terry,0.7525827854200227
cw12,3b,224,Bradley-Terry,0.6332196796270029
cw12,3b,225,Bradley-Terry,
cw12,3b,226,Bradley-Terry,0.2702336884496523
cw12,3b,227,Bradley-Terry,0.6042039138348407
cw12,3b,228,Bradley-Terry,0.3767069589285681
cw12,3b,229,Bradley-Terry,1.0
cw12,3b,230,Bradley-Terry,0.7452609222745397
cw12,3b,231,Bradley-Terry,0.6211739956711614
cw12,3b,232,Bradley-Terry,0.9216017310213246
cw12,3b,233,Bradley-Terry,0.5569739591296714
cw12,3b,234,Bradley-Terry,0.8196104814592203
cw12,3b,235,Bradley-Terry,0.2996484034259831
cw12,3b,236,Bradley-Terry,0.8056109294744229
cw12,3b,237,Bradley-Terry,0.40667382683089626
cw12,3b,238,Bradley-Terry,0.33014965383718153
cw12,3b,239,Bradley-Terry,0.5200903983225306
cw12,3b,240,Bradley-Terry,0.9787930706003494
cw12,3b,241,Bradley-Terry,0.4379219447376891
cw12,3b,242,Bradley-Terry,0.18371776387613298
cw12,3b,243,Bradley-Terry,0.5160846225616369
cw12,3b,244,Bradley-Terry,0.04510157879202129
cw12,3b,245,Bradley-Terry,0.0854290465792554
cw12,3b,246,Bradley-Terry,0.8407937803060785
cw12,3b,247,Bradley-Terry,0.27441144641132964
cw12,3b,248,Bradley-Terry,0.277305162107378
cw12,3b,249,Bradley-Terry,0.7935840677649109
cw12,3b,250,Bradley-Terry,0.43856439304508
cw12,3b,251,Bradley-Terry,0.5183409805248399
cw12,3b,252,Bradley-Terry,0.7421019474341028
cw12,3b,253,Bradley-Terry,0.6868213916316264
cw12,3b,254,Bradley-Terry,0.2184322516604127
cw12,3b,255,Bradley-Terry,
cw12,3b,256,Bradley-Terry,0.23117906395285137
cw12,3b,257,Bradley-Terry,0.6556121929500044
cw12,3b,258,Bradley-Terry,0.20463635758025134
cw12,3b,259,Bradley-Terry,0.6008960336113646
cw12,3b,260,Bradley-Terry,0.22585559847296857
cw12,3b,261,Bradley-Terry,0.1890570933316362
cw12,3b,262,Bradley-Terry,0.3142035529100575
cw12,3b,263,Bradley-Terry,0.4118254686722299
cw12,3b,264,Bradley-Terry,0.31557216393067355
cw12,3b,265,Bradley-Terry,
cw12,3b,266,Bradley-Terry,0.6285281257778288
cw12,3b,267,Bradley-Terry,0.7385614346772758
cw12,3b,268,Bradley-Terry,0.7192448946106376
cw12,3b,269,Bradley-Terry,0.1750870143158288
cw12,3b,270,Bradley-Terry,0.053939824626203954
cw12,3b,271,Bradley-Terry,
cw12,3b,272,Bradley-Terry,0.38515857258643477
cw12,3b,273,Bradley-Terry,0.2628415672447887
cw12,3b,274,Bradley-Terry,0.025457581554214143
cw12,3b,275,Bradley-Terry,0.15176219107803537
cw12,3b,276,Bradley-Terry,0.6899618662873772
cw12,3b,277,Bradley-Terry,0.16168440224891126
cw12,3b,278,Bradley-Terry,
cw12,3b,279,Bradley-Terry,0.21764805295803857
cw12,3b,280,Bradley-Terry,0.4578144520060392
cw12,3b,281,Bradley-Terry,0.3890641936495778
cw12,3b,282,Bradley-Terry,0.6281078300217527
cw12,3b,283,Bradley-Terry,0.20208052078464267
